ettA	V1114067	100.000	1677	0	0	1	1677	1	1677	0.0	3097
group_2225	V1006884	95.464	507	23	0	1	507	1	507	0.0	809
group_2159	V1104897	100.000	1410	0	0	1	1410	1	1410	0.0	2604
group_1390	V1334701	97.066	1227	36	0	1	1227	1	1227	0.0	2067
group_1410	V1006889	97.914	1438	28	2	1	1437	1	1437	0.0	2488
def	V1395658	97.706	654	15	0	1	654	7	660	0.0	1125
group_2270	V1102822	100.000	2616	0	0	1	2616	1	2616	0.0	4831
group_656	V1199734	96.888	1446	45	0	1	1446	1	1446	0.0	2422
group_409	V1006902	97.657	1366	30	2	1	1365	1	1365	0.0	2344
group_410	V1006904	99.211	1014	8	0	1	1014	1	1014	0.0	1829
group_7	V1102826	99.901	1011	1	0	1	1011	1	1011	0.0	1862
group_705	V1006909	98.355	1824	29	1	1	1824	113	1935	0.0	3201
group_906	V1611906	97.508	1645	41	0	33	1677	3	1647	0.0	2811
group_1978	V1006910	96.330	981	36	0	1	981	1	981	0.0	1613
group_2176	V1103725	100.000	1647	0	0	1	1647	1	1647	0.0	3042
group_348	V1103726	96.394	1941	70	0	1	1941	1	1941	0.0	3197
group_2177	V1736982	100.000	657	0	0	1	657	1	657	0.0	1214
group_878	V1151623	96.910	1165	34	2	1	1164	13	1176	0.0	1951
secE	V1011101	98.246	228	4	0	1	228	1	228	2.74e-111	399
obgE~~~cgtA	V1011104	96.908	1682	52	0	1	1682	1	1682	0.0	2819
rplU	V1358917	96.440	309	11	0	1	309	1	309	1.69e-144	510
gpsA	V1409643	99.900	996	1	0	1	996	25	1020	0.0	1834
group_2209	V1420754	98.883	2328	23	1	1	2325	1	2328	0.0	4152
group_955	V1385650	97.318	932	25	0	1	932	58	989	0.0	1583
nagC	V1011565	99.712	1041	3	0	1	1041	1	1041	0.0	1906
nanE	V1072549	98.057	669	13	0	1	669	64	732	0.0	1164
dppB	V1011563	98.955	957	10	0	1	957	1	957	0.0	1712
group_345	V1107021	100.000	2025	0	0	1	2025	1	2025	0.0	3740
ahpC	V1151424	96.099	564	22	0	1	564	1	564	0.0	920
group_135	V1103865	100.000	2769	0	0	1	2769	1	2769	0.0	5114
dps	V1010682	96.458	480	17	0	1	480	1	480	0.0	793
ppc	V1115775	100.000	2757	0	0	1	2757	40	2796	0.0	5092
trpS	V1106414	100.000	1092	0	0	1	1092	25	1116	0.0	2017
group_712	V1007481	98.911	1653	18	0	1	1653	1	1653	0.0	2953
group_1749	V1007477	97.887	1467	31	0	1	1467	1	1467	0.0	2538
group_1544	V1007469	97.465	2091	53	0	1	2091	13	2103	0.0	3568
yidD	V1007463	97.024	336	10	0	1	336	1	336	3.88e-161	566
group_1462	V1007456	96.989	1428	43	0	1	1428	46	1473	0.0	2399
group_1971	V1042606	99.898	984	1	0	1	984	1	984	0.0	1812
group_440	V1103749	100.000	1659	0	0	1	1659	10	1668	0.0	3064
malK	V1505538	99.379	1128	7	0	1	1128	58	1185	0.0	2045
group_2067	V1053537	95.955	1335	54	0	1	1335	40	1374	0.0	2167
group_2190	V1104428	100.000	852	0	0	1	852	1	852	0.0	1574
upp	V1337314	97.183	639	18	0	1	639	55	693	0.0	1081
group_1256	V1351597	100.000	315	0	0	1	315	13	327	3.60e-166	582
hemY	V1009346	96.667	1620	54	0	1	1620	1	1620	0.0	2693
group_734	V1355626	98.420	1139	18	0	1	1139	1	1139	0.0	2004
fbaA	V1151180	99.053	1056	10	0	1	1056	1	1056	0.0	1895
purA	V1009350	96.774	1302	42	0	1	1302	1	1302	0.0	2172
group_1371	V1736987	100.000	426	0	0	1	426	1	426	0.0	787
group_1417	V1507309	98.765	1134	14	0	1	1134	85	1218	0.0	2017
recR	V1009355	97.537	609	15	0	1	609	1	609	0.0	1042
ansP	V1103123	100.000	1608	0	0	1	1608	1	1608	0.0	2970
group_944	V1103126	97.612	1089	26	0	1	1089	1	1089	0.0	1868
atpE	V1468407	97.863	234	5	0	1	234	37	270	6.07e-113	405
atpH	V1015186	100.000	582	0	0	1	582	1	582	0.0	1075
group_1188	V1073015	95.868	726	30	0	1	726	1	726	0.0	1175
tpd	V1014111	99.845	645	1	0	1	645	1	645	0.0	1186
group_386	V1084323	96.639	2202	71	1	1	2199	1	2202	0.0	3653
group_677	V1334736	100.000	1452	0	0	1	1452	1	1452	0.0	2682
group_333	V1075913	99.327	594	4	0	1	594	1	594	0.0	1075
nrdE	V1115738	98.390	2236	34	2	1	2235	22	2256	0.0	3928
brnQ	V1137052	98.266	1557	27	0	1	1557	1	1557	0.0	2726
group_2220	V1074196	97.628	843	20	0	1	843	1	843	0.0	1447
group_2273	V1395477	95.305	1065	50	0	1	1065	4	1068	0.0	1690
group_2244	V1013675	98.376	1293	21	0	1	1293	1	1293	0.0	2272
murA	V1072440	99.265	1497	11	0	1	1497	1	1497	0.0	2704
group_574	V1013674	98.858	1926	22	0	1	1926	1	1926	0.0	3435
group_223	V1013673	98.678	2421	32	0	1	2421	1	2421	0.0	4294
rpsO	V1362787	95.556	360	15	1	1	360	5	363	6.95e-164	575
gpsI	V1171281	98.613	2811	21	3	1	2802	13	2814	0.0	4959
pdxI	V1011853	95.949	864	35	0	1	864	1	864	0.0	1402
rplJ	V1200297	99.425	522	3	0	1	522	1	522	0.0	948
group_1316	V1196870	96.370	303	9	2	1	302	1	302	1.29e-140	497
